"County Population by Age, Race, Hispanic origin, and Gender:  April 1, 2000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,Race,Gender,Hispanic origin,0-4,5-9,10-14,15-19,15-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and up,All Ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Male,Nonhispanic,"3,415","3,634","3,968","7,138","2,484","4,654","13,125","6,730","4,877","4,898","5,096","5,259","4,909","3,380","2,381","2,046","1,861","1,514","1,017",577,"75,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Male,Hispanic,274,292,319,799,201,598,"1,648",656,370,335,265,210,162,82,74,76,57,46,21,13,"5,699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Male,Both,"3,689","3,926","4,287","7,937","2,685","5,252","14,773","7,386","5,247","5,233","5,361","5,469","5,071","3,462","2,455","2,122","1,918","1,560","1,038",590,"81,524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Female,Nonhispanic,"3,212","3,360","3,798","7,820","2,366","5,454","12,919","5,509","4,386","5,001","5,521","5,620","4,847","3,553","2,696","2,337","2,421","2,240","1,560","1,458","78,258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Female,Hispanic,308,285,316,935,216,719,"1,513",518,378,318,343,251,170,106,124,89,71,45,36,36,"5,842",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Female,Both,"3,520","3,645","4,114","8,755","2,582","6,173","14,432","6,027","4,764","5,319","5,864","5,871","5,017","3,659","2,820","2,426","2,492","2,285","1,596","1,494","84,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Both Sexes,Nonhispanic,"6,627","6,994","7,766","14,958","4,850","10,108","26,044","12,239","9,263","9,899","10,617","10,879","9,756","6,933","5,077","4,383","4,282","3,754","2,577","2,035","154,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Both Sexes,Hispanic,582,577,635,"1,734",417,"1,317","3,161","1,174",748,653,608,461,332,188,198,165,128,91,57,49,"11,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alachua,White,Both Sexes,Both,"7,209","7,571","8,401","16,692","5,267","11,425","29,205","13,413","10,011","10,552","11,225","11,340","10,088","7,121","5,275","4,548","4,410","3,845","2,634","2,084","165,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
