CountyName,Race,Gender,Hispanic_origin,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85 and up,All Ages,Average_Age_of_County
ALACHUA,All Races,Both Sexes,Both,"11,161","12,089","12,937","22,354","36,011","17,651","13,756","14,299","14,704","14,297","12,384","8,749","6,645","5,646","5,223","4,490","3,059","2,500","217,955",35.41453511
BAKER,All Races,Both Sexes,Both,"1,561","1,615","1,834","1,824","1,490","1,511","1,635","1,887","1,805","1,640","1,428","1,080",899,721,567,343,236,183,"22,259",36.03953457
BAY,All Races,Both Sexes,Both,"8,979","10,103","10,331","10,117","8,955","9,661","10,078","12,604","12,394","10,626","9,738","7,895","6,919","6,188","5,554","4,044","2,280","1,751","148,217",39.07297409
BRADFORD,All Races,Both Sexes,Both,"1,444","1,540","1,664","1,767","1,788","1,886","1,983","2,244","2,264","1,930","1,678","1,372","1,152",986,845,727,437,381,"26,088",39.31359246
BREVARD,All Races,Both Sexes,Both,"24,707","29,546","31,999","29,172","21,502","22,727","27,918","38,674","39,753","33,325","29,913","26,842","25,471","26,887","25,059","21,000","12,775","8,960","476,230",42.86599962
BROWARD,All Races,Both Sexes,Both,"103,041","110,142","109,132","95,161","82,834","105,816","125,048","143,477","135,070","115,583","99,503","76,548","60,554","57,034","59,607","56,752","44,665","43,051","1,623,018",40.20641053
CALHOUN,All Races,Both Sexes,Both,767,772,914,879,863,"1,029","1,058",998,"1,013",878,749,682,599,484,468,353,250,261,"13,017",39.2313129
CHARLOTTE,All Races,Both Sexes,Both,"5,254","6,119","6,761","6,184","4,215","4,834","5,945","7,590","8,233","8,141","8,618","9,575","10,991","12,862","13,214","11,095","6,916","5,080","141,627",51.38263184
CITRUS,All Races,Both Sexes,Both,"4,469","5,540","6,477","5,690","3,528","4,097","5,009","6,408","7,099","6,937","7,390","8,185","9,246","10,194","10,371","8,502","5,205","3,738","118,085",50.07971377
CLAY,All Races,Both Sexes,Both,"9,229","10,993","12,079","10,877","7,341","8,164","9,734","12,642","12,186","10,812","9,842","7,444","5,699","4,324","3,554","2,775","1,737","1,382","140,814",36.88470607
COLLIER,All Races,Both Sexes,Both,"13,441","14,444","13,677","13,382","11,708","13,361","14,901","17,181","16,277","14,755","14,760","15,518","16,459","17,755","17,333","13,298","7,762","5,365","251,377",45.13588355
COLUMBIA,All Races,Both Sexes,Both,"3,628","3,928","4,152","4,229","3,491","3,348","3,586","4,187","4,513","3,989","3,726","3,130","2,697","2,434","2,113","1,659",985,718,"56,513",39.03685878
DE SOTO,All Races,Both Sexes,Both,"1,873","1,944","2,115","2,431","2,542","2,486","2,062","2,095","1,957","1,736","1,605","1,618","1,632","1,764","1,657","1,353",806,533,"32,209",40.59995653
DIXIE,All Races,Both Sexes,Both,770,819,871,916,774,808,825,"1,004","1,046",916,949,877,883,800,675,479,250,165,"13,827",41.77970637
DUVAL,All Races,Both Sexes,Both,"56,247","57,959","57,826","54,381","53,365","59,664","61,317","67,216","64,190","55,493","48,039","34,768","26,661","22,670","20,915","17,753","11,251","9,164","778,879",36.51443934
