CountyName,% of Total Ed Points,2019 Grade,Property Crime Rate
ALACHUA,62,A,2710.4
BAKER,59,B,973.5
BAY,60,B,3411.6
BRADFORD,53,C,1544.5
BREVARD,64,A,2063.9
BROWARD,61,B,2605.5
CALHOUN,61,B,810.4
CHARLOTTE,60,B,1163.0
CITRUS,57,B,1390.9
CLAY,66,A,1512.2
COLLIER,65,A,1143.6
COLUMBIA,61,B,2379.0
MIAMI-DADE,63,A,3041.9
DESOTO,49,C,1713.6
DIXIE,62,A,897.0
DUVAL,61,B,3257.8
ESCAMBIA,55,B,2865.5
FLAGLER,62,A,1057.9
FRANKLIN,47,C,1719.2
GADSDEN,52,C,1670.4
GILCHRIST,69,A,895.0
GLADES,53,C,952.7
GULF,53,C,1498.2
HAMILTON,48,C,1760.3
HARDEE,54,B,1782.0
HENDRY,53,C,2096.2
HERNANDO,58,B,1375.0
HIGHLANDS,52,C,2263.3
HILLSBOROUGH,60,B,1380.4
HOLMES,52,C,828.0
INDIAN RIVER,59,B,1352.1
JACKSON,58,B,570.6
JEFFERSON,46,C,1495.7
LAFAYETTE,67,A,436.2
LAKE,58,B,1811.4
LEE,59,B,1209.3
LEON,61,B,3272.5
LEVY,58,B,1662.2
LIBERTY,63,A,752.4
MADISON,50,C,889.1
MANATEE,61,B,1684.2
MARION,56,B,1898.1
MARTIN,65,A,1230.2
MONROE,63,A,1865.8
NASSAU,67,A,1259.0
OKALOOSA,67,A,1863.9
OKEECHOBEE,55,B,2351.2
ORANGE,62,A,2963.2
OSCEOLA,58,B,1901.5
PALM BEACH,63,A,2205.2
PASCO,58,B,1493.8
PINELLAS,60,B,2344.1
POLK,54,B,1708.2
PUTNAM,51,C,1838.5
SAINT JOHNS,71,A,1033.8
SAINT LUCIE,61,B,1368.3
SANTA ROSA,65,A,907.5
SARASOTA,67,A,1741.1
SEMINOLE,65,A,1731.3
SUMTER,63,A,885.5
SUWANNEE,60,B,1303.3
TAYLOR,62,A,2360.0
UNION,61,B,535.3
VOLUSIA,57,B,2008.0
WAKULLA,65,A,1525.4
WALTON,66,A,1345.8
WASHINGTON,59,B,972.9
